IID,CID,order_date,order_total
3001,2001,2025-10-01,1250.50
3002,2002,2025-10-02,899.99
3003,2003,2025-10-03,2100.00
3004,2001,2025-10-05,450.75
3005,2004,2025-10-07,3200.25
3006,2005,2025-10-08,755.00
3007,2002,2025-10-10,1899.99
3008,2006,2025-10-12,625.50
3009,2007,2025-10-14,985.00
3010,2008,2025-10-15,1450.75
3011,2003,2025-10-17,2250.00
3012,2009,2025-10-18,375.25
3013,2010,2025-10-20,4500.00
3014,2001,2025-10-22,899.50
3015,2004,2025-10-25,1725.00
3016,2005,2025-10-27,550.75
3017,2006,2025-10-28,2100.50
3018,2007,2025-10-30,1325.00
3019,2008,2025-11-01,975.25
3020,2002,2025-11-03,3250.00
